State,Name,Status,PopulationCensus2006-03-21,PopulationProjection2022-03-21
Oyo,Ona-Ara,Local Government Area,265571,379500
Oyo,Orelope,Local Government Area,104004,148600
Oyo,Ori Ire,Local Government Area,149408,213500
Oyo,Oyo East,Local Government Area,124095,177400
Oyo,Oyo West,Local Government Area,136457,195000
Oyo,Saki East,Local Government Area,108957,155700
Oyo,Saki West,Local Government Area,273268,390500
Oyo,Surulere,Local Government Area,140339,200600
Plateau,Barkin Ladi,Local Government Area,179805,264500
Plateau,Bassa,Local Government Area,189834,279300
Plateau,Bokkos,Local Government Area,179550,264100
Plateau,Jos East,Local Government Area,88301,129900
Plateau,Jos North,Local Government Area,437217,643200
Plateau,Jos South,Local Government Area,311392,458100
Plateau,Kanam,Local Government Area,167619,246600
Plateau,Kanke,Local Government Area,124268,182800
Plateau,Langtang North,Local Government Area,142316,209400
Plateau,Langtang South,Local Government Area,105173,154700
Plateau,Mangu,Local Government Area,300520,442100
Plateau,Mikang,Local Government Area,96388,141800
Plateau,Pankshin,Local Government Area,190114,279700
Plateau,Qua'an Pan,Local Government Area,197276,290200
Plateau,Riyom,Local Government Area,131778,193900
Plateau,Shendam,Local Government Area,205119,301800
Plateau,Wase,Local Government Area,159861,235200
Rivers,Abua - Odual,Local Government Area,282410,406200
Rivers,Ahoada East,Local Government Area,166324,239200
Rivers,Ahoada West,Local Government Area,249232,358400
Rivers,Akuku Toru,Local Government Area,161103,231700
Rivers,Andoni,Local Government Area,217924,313400
Rivers,Asari-Toru,Local Government Area,219787,316100
Rivers,Bonny,Local Government Area,214983,309200
Rivers,Degema,Local Government Area,249467,358800
Rivers,Eleme,Local Government Area,190194,273500
Rivers,Emuoha,Local Government Area,201057,289200
Rivers,Etche,Local Government Area,249939,359500
Rivers,Gokana,Local Government Area,233813,336300
Rivers,Ikwerre,Local Government Area,188930,271700
Rivers,Khana,Local Government Area,292924,421300
Rivers,Obio/Akpor,Local Government Area,462350,665000
Rivers,Ogba - Egbema - Ndoni,Local Government Area,283294,407400
Rivers,Ogu - Bolo,Local Government Area,75282,108300
Rivers,Okrika,Local Government Area,222285,319700
Rivers,Omumma,Local Government Area,100388,144400
Rivers,Opobo - Nkoro,Local Government Area,152833,219800
Rivers,Oyigbo,Local Government Area,125331,180300
Rivers,Port-Harcourt,Local Government Area,538558,774600
Rivers,Tai,Local Government Area,120308,173000
Sokoto,Binji,Local Government Area,104274,180000
Sokoto,Bodinga,Local Government Area,174302,300900
Sokoto,Dange Shuni,Local Government Area,193443,333900
Sokoto,Gada,Local Government Area,249051,429900
Sokoto,Goronyo,Local Government Area,182118,314300
Sokoto,Gudu,Local Government Area,95400,164700
Sokoto,Gwadabawa,Local Government Area,231569,399700
Sokoto,Illela,Local Government Area,150133,259100
Sokoto,Isa,Local Government Area,150268,259400
Sokoto,Kebbe,Local Government Area,123154,212600
Sokoto,Kware,Local Government Area,134084,231400
Sokoto,Rabah,Local Government Area,149152,257400
Sokoto,Sabon Birni,Local Government Area,207470,358100
Sokoto,Shagari,Local Government Area,156907,270800
Sokoto,Silame,Local Government Area,104601,180500
Sokoto,Sokoto North,Local Government Area,233012,402200
Sokoto,Sokoto South,Local Government Area,197686,341200
Sokoto,Tambuwal,Local Government Area,225917,389900
Sokoto,Tangaza,Local Government Area,114770,198100
Sokoto,Tureta,Local Government Area,68414,118100
Sokoto,Wamakko,Local Government Area,179246,309400
Sokoto,Wurno,Local Government Area,162403,280300
Sokoto,Yabo,Local Government Area,115302,199000
Taraba,Ardo-Kola,Local Government Area,87784,138100
Taraba,Bali,Local Government Area,211024,332000
Taraba,Disputed Areas,Local Government Area,19964,31400
Taraba,Donga,Local Government Area,133105,209400
Taraba,Gashaka,Local Government Area,87166,137100
Taraba,Gassol,Local Government Area,245086,385500
Taraba,Ibi,Local Government Area,84302,132600
Taraba,Jalingo,Local Government Area,140318,220700
Taraba,Karim-Lamido,Local Government Area,193924,305100
Taraba,Kurmi,Local Government Area,91282,143600
Taraba,Lau,Local Government Area,95190,149700
Taraba,Sardauna,Local Government Area,224357,352900
Taraba,Takum,Local Government Area,134576,211700
Taraba,Ussa,Local Government Area,90889,143000
Taraba,Wukari,Local Government Area,238283,374800
Taraba,Yorro,Local Government Area,89865,141400
Taraba,Zing,Local Government Area,127685,200900
Yobe,Bade,Local Government Area,139804,219800
Yobe,Bursari,Local Government Area,109692,172500
Yobe,Damaturu,Local Government Area,87706,137900
Yobe,Fika,Local Government Area,136736,215000
Yobe,Fune,Local Government Area,301954,474700
Yobe,Geidam,Local Government Area,155740,244900
Yobe,Gujba,Local Government Area,129797,204100
Yobe,Gulani,Local Government Area,103516,162700
Yobe,Jakusko,Local Government Area,232458,365500
Yobe,Karasuwa,Local Government Area,105514,165900
Yobe,Machina,Local Government Area,60994,95900
Yobe,Nangere,Local Government Area,87517,137600
Yobe,Nguru,Local Government Area,150699,236900
Yobe,Potiskum,Local Government Area,204866,322100
Yobe,Tarmua,Local Government Area,77667,122100
Yobe,Yunusari,Local Government Area,125940,198000
Yobe,Yusufari,Local Government Area,110739,174100
Zamfara,Anka,Local Government Area,143637,255500
Zamfara,Bakura,Local Government Area,187141,332900
Zamfara,Birnin Magaji,Local Government Area,184083,327500
Zamfara,Bukkuyum,Local Government Area,216348,384900
Zamfara,Bungudu,Local Government Area,258644,460200
Zamfara,Gummi,Local Government Area,206721,367800
Zamfara,Gusau,Local Government Area,383712,682700
Zamfara,Kaura Namoda,Local Government Area,285363,507700
Zamfara,Maradun,Local Government Area,207563,369300
Zamfara,Maru,Local Government Area,293141,521500
Zamfara,Shinkafi,Local Government Area,135964,241900
Zamfara,Talata Mafara,Local Government Area,215650,383700
Zamfara,Tsafe,Local Government Area,266929,474900
Zamfara,Zurmi,Local Government Area,293977,523000
