ADM1_NAME,ADM2_NAME,dtp1_2018,dtp1_lo,dtp1_hi
Oyo,IbadanNorth-East,84.68,73.2,94.17
Oyo,IbadanNorth-West,85.25,71.58,94.12
Oyo,IbadanSouth-East,84.97,72.03,94.32
Oyo,IbadanSouth-West,85.51,72.58,94.64
Oyo,Ibarapa Central,69.74,49.04,86.83
Oyo,Ibarapa East,76.37,57.6,91.41
Oyo,Ibarapa North,67.91,47.35,85.6
Oyo,Ido,82.88,69.2,92.18
Oyo,Irepo,37.32,19.2,63.98
Oyo,Iseyin,67.43,49.97,84.01
Oyo,Itesiwaju,53.44,35.91,73.0
Oyo,Iwajowa,65.73,46.8,84.84
Oyo,Kajola,69.43,48.8,87.98
Oyo,Lagelu,83.01,70.6,92.71
Oyo,Ogbomosho North,77.22,56.87,91.04
Oyo,Ogbomosho South,77.31,57.24,91.14
Oyo,Ogo-Oluw,81.09,65.67,92.01
Oyo,Olorunsogo,45.67,25.11,68.03
Oyo,Oluyole,80.75,67.32,91.31
Oyo,Ona-Ara,81.34,68.77,92.01
Oyo,Orelope,39.85,19.73,65.48
Oyo,Ori-Ire,61.23,43.22,77.92
Oyo,Oyo East,79.28,62.99,91.86
Oyo,Oyo West,75.93,59.3,89.19
Oyo,Saki East,38.39,22.78,59.71
Oyo,Saki West,41.38,24.66,63.25
Oyo,Surulere,80.5,66.2,91.11
Plateau,Barkin Ladi,90.11,80.44,96.83
Plateau,Bassa,84.97,72.92,93.7
Plateau,Bokkos,86.94,73.4,95.07
Plateau,Jos East,91.53,83.14,96.97
Plateau,Jos North,93.49,85.93,97.84
Plateau,Jos South,93.04,84.87,97.65
Plateau,Kanam,63.93,45.93,79.0
Plateau,Kanke,86.74,75.16,94.54
Plateau,Langtang North,74.94,57.44,87.85
Plateau,Langtang South,74.98,53.0,90.42
Plateau,Mangu,90.34,80.48,96.32
Plateau,Mikang,80.6,65.32,91.13
Plateau,Pankshin,88.86,77.97,95.95
Plateau,Qua'anpa,75.5,59.59,87.86
Plateau,Riyom,88.56,77.46,96.26
Plateau,Shendam,78.64,64.0,90.75
Plateau,Wase,56.12,38.72,71.63
Rivers,Abua/Odu,79.76,64.09,91.48
Rivers,Ahoada East,78.95,61.75,90.99
Rivers,Ahoada West,77.33,59.91,89.79
Rivers,Akukutor,80.45,62.57,92.11
Rivers,Andoni/O,86.57,69.32,95.21
Rivers,Asari-To,87.78,75.05,95.32
Rivers,Bonny,85.55,69.77,94.74
Rivers,Degema,84.64,71.84,93.55
Rivers,Eleme,90.92,80.8,96.65
Rivers,Emuoha,81.57,68.27,91.27
Rivers,Etche,84.98,71.82,93.83
Rivers,Gokana,89.96,77.37,96.28
Rivers,Ikwerre,83.82,71.29,93.03
Rivers,Khana,88.29,75.52,95.54
Rivers,Obio/Akp,90.19,80.64,96.28
Rivers,Ogba/Egbe,78.25,62.53,90.35
Rivers,Ogu/Bolo,88.67,75.48,95.6
Rivers,Okrika,88.65,77.18,95.45
Rivers,Omumma,87.23,75.5,94.98
Rivers,Opobo/Nkoro,85.51,69.12,94.6
Rivers,Oyigbo,89.9,79.42,95.96
Rivers,Port Harcourt,90.13,79.51,96.1
Rivers,Tai,90.3,78.88,96.26
Sokoto,Binji,18.95,8.2,34.55
Sokoto,Bodinga,23.24,12.44,38.17
Sokoto,Dange-Shuni,24.76,13.76,39.9
Sokoto,Gada,30.56,17.17,47.11
Sokoto,Goronyo,17.33,8.36,32.3
Sokoto,Gudu,32.94,17.58,52.81
Sokoto,Gwadabaw,20.42,11.06,33.34
Sokoto,Illela,24.43,12.56,41.33
Sokoto,Isa,15.94,7.58,27.62
Sokoto,Kebbe,19.41,10.79,32.17
Sokoto,Kware,22.75,12.9,34.59
Sokoto,Rabah,15.55,7.96,26.28
Sokoto,Sabon Birni,19.11,8.92,32.92
Sokoto,Shagari,17.8,9.09,29.7
Sokoto,Silame,20.43,10.22,35.46
Sokoto,Sokoto North,36.09,20.23,54.1
Sokoto,Sokoto South,35.58,19.6,52.81
Sokoto,Tambawal,19.63,11.45,32.7
Sokoto,Tangazar,21.81,11.48,35.61
Sokoto,Tureta,24.51,12.73,41.31
Sokoto,Wamakko,34.89,20.91,51.86
Sokoto,Wurno,17.92,9.76,30.1
Sokoto,Yabo,19.25,10.23,32.17
Taraba,Ardo-Kola,72.55,56.95,86.12
Taraba,Bali,47.68,34.6,62.25
Taraba,Donga,56.87,37.82,74.7
Taraba,Gashaka,58.22,40.46,74.91
Taraba,Gassol,48.58,33.14,64.4
Taraba,Ibi,66.14,47.52,80.84
Taraba,Jalingo,80.3,64.51,91.56
Taraba,Karim-La,69.04,53.95,81.03
Taraba,Kurmi,56.53,38.97,74.37
Taraba,Lau,79.73,65.69,90.44
Taraba,Sardauna,58.99,42.41,76.84
Taraba,Takum,68.61,50.02,84.33
Taraba,Ussa,76.03,57.29,90.07
Taraba,Wukari,66.32,49.28,81.03
Taraba,Yorro,73.68,56.1,86.87
Taraba,Zing,74.58,55.34,88.58
Yobe,Bade,49.86,32.06,67.9
Yobe,Borsari,42.34,25.25,63.09
Yobe,Damaturu,43.34,23.5,65.13
Yobe,Fika,41.06,25.54,58.11
Yobe,Fune,37.66,23.51,54.2
Yobe,Geidam,27.42,13.27,46.49
Yobe,Gujba,44.53,24.91,66.66
Yobe,Gulani,40.17,23.23,59.51
Yobe,Jakusko,41.9,25.93,60.53
Yobe,Karasuwa,48.0,32.33,66.24
Yobe,Machina,48.64,32.96,66.1
Yobe,Nangere,49.14,31.11,67.64
Yobe,Nguru,55.94,35.9,74.95
Yobe,Potiskum,50.73,32.47,69.5
Yobe,Tarmuwa,31.24,15.64,51.81
Yobe,Yunusari,32.2,17.42,51.03
Yobe,Yusufari,37.78,23.63,54.68
Zamfara,Anka,17.51,8.96,29.74
Zamfara,Bakura,20.08,10.56,34.84
Zamfara,Birnin-Magaji/Kiyaw,19.2,9.26,34.24
Zamfara,Bukkuyum,17.27,8.82,27.89
Zamfara,Bungudu,24.3,13.52,39.91
Zamfara,Gummi,18.17,9.17,30.27
Zamfara,Gusau,31.04,18.43,48.13
Zamfara,Kaura-Na,17.33,8.43,30.49
Zamfara,Maradun,15.75,8.02,27.41
Zamfara,Maru,19.84,11.98,30.7
Zamfara,Shinkafi,15.82,7.17,28.84
Zamfara,Talata-Mafara,17.77,8.5,30.74
Zamfara,Tsafe,29.14,17.2,46.21
Zamfara,Zurmi,20.97,10.8,35.0
